,Brand,Product,Type,Avg Rating,Number of Reviews,Percentage Would Buy Again
316,COVERGIRL,CG Smoothers All Day Hydrating Makeup,Liquid,3.7,248,0.67
317,e.l.f. Cosmetics,Flawless Finish Foundation,Liquid,3.6,243,0.62
318,CLINIQUE,Stay-Matte Oil-Free Makeup,Liquid,3.7,243,0.61
319,CLARINS,Everlasting Foundation SPF 15,Liquid,3.8,237,0.62
320,COVERGIRL,Advanced Radiance Age Defying - Liquid,Liquid,3.6,232,0.61
321,Physicians Formula,Mineral Wear Talc-Free Mineral Liquid Foundation,Liquid,3.3,231,0.56
322,CLINIQUE,Anti-Blemish Solutions Liquid Makeup,Liquid,3.6,217,0.62
323,COVERGIRL,Clean Makeup,Liquid,2.7,205,0.39
324,Max Factor,FaceFinity All Day Flawless 3 in 1,Liquid,3.5,201,0.61
325,REVLON,ColorStay Whipped Creme Makeup,Cr̬me,3.9,1380,0.69
326,COVERGIRL,AquaSmooth SPF15 Make-up,Cr̬me,3.6,942,0.65
327,MAC Cosmetics,Studio Tech foundation,Cr̬me,3.5,899,0.59
328,benefit Cosmetics,Some Kind-A Gorgeous,Cr̬me,3.0,572,0.44
329,COVERGIRL,+ Olay Simply Ageless 3-In-1 Liquid Foundation,Cr̬me,3.5,444,0.59
330,CHANTECAILLE,Future Skin,Cr̬me,3.8,330,0.62
331,REVLON,New Complexion One-Step Compact Makeup,Cr̬me,3.6,309,0.63
332,Bobbi Brown,Oil-Free Even Finish Compact Foundation,Cr̬me,3.1,284,0.48
333,Vincent Longo,Water Canvas,Cr̬me,3.9,258,0.69
334,Cinema Secrets,Ultimate Foundation,Cr̬me,4.3,220,0.81
335,MAC Cosmetics,Full Coverage Foundation ,Cr̬me,3.8,212,0.68
336,MAC Cosmetics,Mineralize Foundation,Cr̬me,3.7,201,0.63
337,L'Oreal Paris,True Match Super Blendable Compact Makeup,Cr̬me,2.9,197,0.48
338,SHISEIDO,Hydro-Liquid Compact,Cr̬me,3.6,179,0.6
339,Graftobian ,"HD CREME FOUNDATIONS, 64 SHADES",Cr̬me,4.1,170,0.78
340,Mary Kay,Cream-to-Powder Foundation,Cr̬me,3.5,123,0.65
341,Cl̩ de Peau Beaut̩,Cream Foundation ,Cr̬me,3.9,106,0.69
342,RCMA Makeup,Color Process Foundation,Cr̬me,4.2,99,0.75
343,CHANEL,Double Perfection Creme Poudre (Creme Powder Makeup),Cr̬me,3.6,98,0.59
344,Maybelline New York,Dream Velvet Soft Matte Hydrating Foundation,Cr̬me,2.9,88,0.36
345,L'Oreal Paris,True Match Roller,Cr̬me,2.7,87,0.32
346,Sue Devitt,Triple C-weed Whipped Foundation,Cr̬me,3.6,87,0.58
347,Illuminare,Extra Coverage Foundation/ Concealer,Cr̬me,4.1,86,0.75
348,Elizabeth Arden,Flawless Finish Sponge-On Creme Make-up,Cr̬me,3.7,85,0.68
349,Urban Decay,Surreal Skin Cream to Powder Foundation,Cr̬me,3.5,85,0.5
350,Mehron Makeup,Celebre HD Pro Cream Foundation,Cr̬me,4.0,84,0.75
351,CLINIQUE,City Base Foundation,Cr̬me,3.1,82,0.46
352,Dr. Hauschka,Translucent Make-up,Cr̬me,3.9,81,0.7
353,Neutrogena,Healthy Skin Compact Makeup SPF 55 Helioplex,Cr̬me,2.6,76,0.35
354,Lanc̫me,Absolue Foundation,Cr̬me,4.1,74,0.74
355,mark.,Speedway Do Everything Foundation Stick,Cr̬me,3.7,74,0.66
356,theBalm Cosmetics,TimeBalm Foundation,Cr̬me,4.0,72,0.72
357,Exuviance by NeoStrata,Skin Caring Foundation,Cr̬me,3.9,67,0.7
358,REVLON,PhotoReady Compact Makeup,Cr̬me,3.1,66,0.51
359,CHANTECAILLE,Real Skin Foundation SPF30 ,Cr̬me,3.9,65,0.67
360,Maybelline New York,Maybelline EverFresh,Cr̬me,3.3,64,0.57
361,L'Oreal Paris,Matte Morphose,Cr̬me,3.2,58,0.53
362,Unlisted Brand,Dermacol Make-up Cover,Cr̬me,3.5,58,0.55
363,Lacura,Beauty Foundation,Cr̬me,3.8,56,0.73
364,Merle Norman,Total Finish Compact Makeup,Cr̬me,3.8,56,0.67
365,CHANTECAILLE,Real Skin Makeup,Cr̬me,3.8,54,0.7
366,NARS Cosmetics,Radiant Cream Compact Foundation,Cr̬me,3.5,54,0.59
367,Cover FX,Total Cover Cream Foundation SPF 30,Cr̬me,3.4,52,0.57
368,Stila,Complete Coverage,Cr̬me,3.0,51,0.43
369,MILANI,Smooth Finish Makeup,Cr̬me,4.0,47,0.74
370,Lanc̫me,Magique Mousse Foundation,Cr̬me,3.8,46,0.63
371,Iman,Cream to Powder,Cr̬me,3.5,45,0.6
372,REVLON,Age Defying Makeup,Cr̬me,3.0,45,0.46
373,Paula Dorf,Perfect Glo ,Cr̬me,3.9,45,0.73
374,Dermablend,Dermablend Leg & Body Creme,Cr̬me,3.7,43,0.67
375,CHANEL,Vitalumiere Hydra (Moist Radiance Emulsion Compact),Cr̬me,4.3,43,0.76
376,COVERGIRL,Aqua Smooth Make-Up - Creamy Natural 720,Cr̬me,4.0,43,0.79
377,L'Oreal Paris,Visible Lift Repair Absolute,Cr̬me,3.5,42,0.54
378,CHANEL,Teint Compact Creme Universel SPF15,Cr̬me,4.0,40,0.67
379,RMK,Creamy liquid foundation,Cr̬me,4.1,39,0.69
380,Boots ,No7 Intelligent Colour Foundation,Cr̬me,3.3,38,0.57
381,Trish McEvoy,Cream Powder Makeup,Cr̬me,4.0,38,0.71
382,Ben Nye,Matte Foundation,Cr̬me,4.0,36,0.77
383,Exuviance by NeoStrata,Coverblend Concealing Treatment Makeup SPF 20,Cr̬me,3.9,35,0.71
384,Signature Club A,"""8 Butters Creamery Makeup & Blend-in Concealer"" (from jet-tech kit)",Cr̬me,3.1,35,0.51
385,e.l.f. Cosmetics,Shielding Hydro-Tint spf 15- Tone 2,Cr̬me,2.9,35,0.4
386,By Terry,Sheer Expert Perfecting Fluid Foundation,Cr̬me,4.3,35,0.74
387,Avon,Ideal Shade Cream to Powder Foundation SPF 15,Cr̬me,2.9,35,0.45
388,The Body Shop,Flawless Skin Protecting Foundation SPF 25,Cr̬me,3.8,35,0.54
389,Inglot Cosmetics,YSM Cream Foundation,Cr̬me,4.2,35,0.68
390,Scott Barnes,creme foundation,Cr̬me,4.1,34,0.7
391,Almay,Clear Complexion Compact Makeup,Cr̬me,3.3,34,0.58
392,benefit Cosmetics,Some Kind-a Gorgeous Lite,Cr̬me,3.0,33,0.57
393,Avene,Couvrance Compact Foundation SPF 30,Cr̬me,3.3,31,0.51
394,Max Factor,Silk perfection cream to powder ,Cr̬me,3.1,31,0.51
395,CHANEL,vitalumiere Aqua Fresh and Hydrating Cream Compact Makeup,Cr̬me,3.4,29,0.55
396,The Body Shop,Extra Virgin Minerals Cream Compact Foundation,Cr̬me,2.7,28,0.25
397,SHISEIDO,Sun Protection Stick Foundation SPF35,Cr̬me,4.3,28,0.78
398,Smashbox,Conversion Cream to Powder foundation,Cr̬me,3.6,28,0.53
399,Cl̩ de Peau Beaut̩,Teint Naturel Satine,Cr̬me,4.7,27,0.92
400,Maybelline New York,Dream Fresh BB 8-in-1 Cream,BB Cream,3.2,1418,0.52
401,MISSHA,M Perfect Cover BB Cream SPF 42 PA+++,BB Cream,3.8,1062,0.67
402,Garnier,BB Cream Miracle Skin Perfector - Light/Medium,BB Cream,2.8,932,0.39
403,L'Oreal Paris,Magic Skin Beautifier BB Cream,BB Cream,3.3,584,0.56
404,It Cosmetics,Your Skin But Better SPF 50 CC Cream,BB Cream,3.7,582,0.61
405,Skin79,Super Plus Beblesh Balm Triple Functions Whitening UV Protection SPF25 PA++ (Hot Pink),BB Cream,4.0,561,0.68
406,Garnier,BB Cream Miracle Skin Perfector for Combination to Oily Skin - Light,BB Cream,3.5,531,0.64
407,Skin79,Super Plus Beblesh Balm Triple Functions - VIP Gold,BB Cream,4.2,327,0.74
408,Smashbox,Camera Ready BB Cream SPF 35,BB Cream,3.5,322,0.53
409,RIMMEL,BB Cream 9-in-1 Skin Perfecting Super Makeup SPF 25,BB Cream,3.1,310,0.49
410,Tarte Cosmetics,BB tinted treatment 12-hour primer Broad Spectrum SPF 30 sunscreen,BB Cream,3.9,251,0.68
411,Garnier,BB Cream Miracle Skin Perfector for Combination to Oily Skin,BB Cream,3.7,241,0.69
412,REVLON,Photoready BB Cream SPF 30,BB Cream,3.0,240,0.44
413,CLINIQUE,Moisture Surge CC Cream SPF 30,BB Cream,3.6,200,0.54
414,MISSHA, M Signature Real Complete B.B. Cream SPF 25 PA++,BB Cream,4.1,200,0.75
415,Bobbi Brown,BB Cream SPF 35 PA+++,BB Cream,3.7,198,0.58
416,Physicians Formula,Super BB All-In-One Beauty Balm Cream,BB Cream,3.7,172,0.67
417,Dr. Jart+,Premium Beauty Balm SPF 45 PA+++ ,BB Cream,3.8,150,0.66
418,MAC Cosmetics,Prep + Prime BB Beauty Balm SPF 35,BB Cream,3.6,149,0.66
419,COVERGIRL,CG Smoothers BB Cream,BB Cream,3.2,147,0.53
420,CLINIQUE,Age Defense BB Cream SPF 30,BB Cream,3.5,143,0.58
421,Est̩e Lauder,DayWear BB Anti-Oxidant Beauty Benefit Creme SPF 35,BB Cream,3.5,137,0.52
422,Urban Decay,Naked Skin Beauty Balm,BB Cream,2.9,131,0.43
423,L'Oreal Paris,Nude Magique BB Cream,BB Cream,2.8,130,0.39
424,Lumene,Bright Now Vitamin C BB Cream SPF 20,BB Cream,4.2,128,0.78
425,Garnier,BB Cream Miracle Skin Perfector - Medium/Deep,BB Cream,3.0,125,0.45
426,Marcelle,BB Cream Beauty Balm,BB Cream,3.8,118,0.68
427,Boscia,BB Cream SPF 27 PA++,BB Cream,3.3,115,0.5
428,Dior,Diorskin Nude BB Creme,BB Cream,3.8,114,0.64
429,Lioele ,Triple Solution BB Cream SPF30 PA++,BB Cream,3.9,113,0.69
430,Jane Iredale,Glow Time Full-Coverage Mineral BB Cream,BB Cream,3.6,108,0.62
431,Skin79,Super Plus Beblesh Balm Triple Functions UV Interception SPF50+ PA+++ (Vital Orange),BB Cream,3.9,104,0.6
432,The Body Shop,All-In-One BB Cream,BB Cream,3.0,100,0.42
433,L'Oreal Paris,Youth Code BB Cream Illuminator,BB Cream,3.1,100,0.45
434,COVERGIRL,Clean Matte BB Cream,BB Cream,3.9,97,0.71
435,CHANEL,CC Cream,BB Cream,3.5,96,0.55
436,SKINFOOD,Aloe Sun BB Cream SPF 20 PA+,BB Cream,3.3,95,0.43
437,Dr. Jart+,Water Fuse Beauty Balm SPF 25 PA++,BB Cream,3.6,94,0.57
438,Lioele ,Beyond the Solution BB Cream,BB Cream,3.7,86,0.52
439,NYX Professional Makeup,BB Beauty Balm,BB Cream,3.8,83,0.71
440,benefit Cosmetics,Big Easy,BB Cream,3.4,83,0.57
441,Olay,Fresh Effects in Light/Medium,BB Cream,2.4,81,0.28
442,Urban Decay,Naked Skin One and Done,BB Cream,3.7,79,0.62
443,MISSHA,Cho Bo Yang BB Cream,BB Cream,4.2,73,0.75
444,RIMMEL,BB Cream Matte 9-in-1 Skin Perfecting Super Makeup SPF 15,BB Cream,3.2,72,0.5
445,Lumene,Time Freeze Anti-Age Color Correcting CC Cream,BB Cream,4.2,70,0.78
446,Physicians Formula,Super CC+ Cream SPF 30,BB Cream,3.8,69,0.63
447,e.l.f. Cosmetics,Studio BB Cream SPF 20,BB Cream,3.3,68,0.51
448,Holika Holika,Aqua Petit Jelly BB Cream,BB Cream,3.8,67,0.71
449,Aveeno,Clear Complexion BB Cream,BB Cream,2.7,66,0.37
450,Dr. Jart+,Blemish Balm Cream (black label),BB Cream,3.4,66,0.54
451,The Body Shop,Tea Tree Flawless BB Cream,BB Cream,2.8,64,0.43
452,It Cosmetics,CC+ Cream Illumination SPF50+,BB Cream,3.5,64,0.56
453,Olay,"Total Effects Tone Correcting ""CC"" Cream",BB Cream,2.2,60,0.23
454,FLOWER Beauty,BB Cream,BB Cream,3.8,59,0.61
455,Dior,Hydra Life BB Creme,BB Cream,3.6,57,0.52
456,BRTC,Jasmine Water BB Cream SPF 30 PA++,BB Cream,3.6,57,0.56
457,Physicians Formula,Organic Wear CC Cream SPF 20,BB Cream,3.7,57,0.66
458,CLARINS,BB Skin Perfecting Cream SPF 25,BB Cream,3.7,56,0.55
459,SKINFOOD,Mushroom Multi Care BB Cream SPF 20 PA+,BB Cream,3.8,55,0.65
460,LANEIGE,Snow BB Soothing Cushion SPF 50+ PA+++,BB Cream,3.7,54,0.64
461,Dr. Jart+,Rejuvenating Silver Label BB Cream SPF 30,BB Cream,3.6,52,0.57
462,L'Oreal Paris,Nude Magique CC Cream Anti-Redness SPF 12,BB Cream,2.7,50,0.38
463,Kiehl's,Actively Correcting & Beautifying BB Cream,BB Cream,3.3,49,0.53
464,Garnier,BB Cream Miracle Skin Perfector for Combination to Oily Skin - Medium,BB Cream,3.4,48,0.56
465,GUERLAIN,Lingerie de Peau BB Invisible Skin-Fusion Multi-Perfecting Make-Up SPF 30,BB Cream,4.3,48,0.72
466,Too Faced,Air Buffed BB Creme SPF 20,BB Cream,3.0,47,0.51
467,SKINFOOD,Peach Sake Pore BB Cream SPF20 PA+,BB Cream,3.4,47,0.46
468,REVLON,Age Defying CC Cream,BB Cream,2.9,46,0.45
469,Etude House,BB Magic Cream,BB Cream,3.8,45,0.75
470,erborian,BB Cream au Ginseng,BB Cream,4.2,45,0.75
471,The Face Shop,Power Perfection BB Cream,BB Cream,3.7,45,0.73
472,Holika Holika,Petit BB Cream - Clearing,BB Cream,4.2,45,0.75
473,AmorePacific,Color Control Cushion Compact Broad Spectrum SPF 50+,BB Cream,3.6,45,0.46
474,Supergoop!,Daily Correct CC Cream Broad Spectrum SPF 35,BB Cream,4.1,45,0.71
